session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
797yw66a,43,0tz0xzg5,2,Survey,Introduction,1685890510,1,0,0
797yw66a,45,x2zdwux2,0,,InitializeParticipant,1685890514,1,0,0
797yw66a,41,0f4i6zc4,5,Survey,Choice,1685890516,1,0,0
797yw66a,37,z2drio1h,105,Survey,Choice,1685890517,11,0,0
797yw66a,46,jr6y6dni,0,,InitializeParticipant,1685890518,1,0,0
797yw66a,37,z2drio1h,115,Survey,Choice,1685890533,12,0,0
797yw66a,15,yhto2pxa,118,Survey,Results_failed_comprehension,1685890534,12,0,0
797yw66a,21,z3g0geb8,75,Survey,Choice,1685890542,8,0,0
797yw66a,37,z2drio1h,116,Survey,Results,1685890543,12,0,0
797yw66a,44,4gd0wd2u,1,Survey,Demographics,1685890548,1,0,0
797yw66a,13,gfouav3o,4,Survey,ComprehensionCheck_2,1685890548,1,0,0
797yw66a,42,6qmqpdvf,3,Survey,ComprehensionCheck_1,1685890550,1,0,0
797yw66a,44,4gd0wd2u,2,Survey,Introduction,1685890554,1,0,0
797yw66a,46,jr6y6dni,1,Survey,Demographics,1685890558,1,0,0
797yw66a,45,x2zdwux2,1,Survey,Demographics,1685890566,1,0,0
797yw66a,47,3fyk9zre,0,,InitializeParticipant,1685890566,1,0,0
797yw66a,48,1m7pj9rk,0,,InitializeParticipant,1685890566,1,0,0
797yw66a,20,34qgrk53,57,Survey,Results_failed_attention,1685890567,6,0,0
797yw66a,46,jr6y6dni,2,Survey,Introduction,1685890568,1,0,0
797yw66a,45,x2zdwux2,2,Survey,Introduction,1685890570,1,0,0
797yw66a,20,34qgrk53,67,Survey,Results_failed_attention,1685890570,7,0,0
797yw66a,39,45sbdigd,35,Survey,Choice,1685890579,4,0,0
797yw66a,48,1m7pj9rk,1,Survey,Demographics,1685890592,1,0,0
797yw66a,48,1m7pj9rk,2,Survey,Introduction,1685890596,1,0,0
797yw66a,47,3fyk9zre,1,Survey,Demographics,1685890599,1,0,0
797yw66a,42,6qmqpdvf,4,Survey,ComprehensionCheck_2,1685890605,1,0,0
797yw66a,21,z3g0geb8,85,Survey,Choice,1685890613,9,0,0
797yw66a,29,epmbvo3y,3,Survey,ComprehensionCheck_1,1685890616,1,0,0
797yw66a,39,45sbdigd,45,Survey,Choice,1685890619,5,0,0
797yw66a,47,3fyk9zre,2,Survey,Introduction,1685890621,1,0,0
797yw66a,42,6qmqpdvf,118,Survey,Results_failed_comprehension,1685890626,12,0,0
797yw66a,39,45sbdigd,55,Survey,Choice,1685890643,6,0,0
797yw66a,48,1m7pj9rk,3,Survey,ComprehensionCheck_1,1685890659,1,0,0
797yw66a,48,1m7pj9rk,4,Survey,ComprehensionCheck_2,1685890670,1,0,0
797yw66a,48,1m7pj9rk,118,Survey,Results_failed_comprehension,1685890673,12,0,0
797yw66a,13,gfouav3o,118,Survey,Results_failed_comprehension,1685890673,12,0,0
797yw66a,49,w8p97p7s,0,,InitializeParticipant,1685890683,1,0,0
797yw66a,41,0f4i6zc4,15,Survey,Choice,1685890701,2,0,0
797yw66a,49,w8p97p7s,1,Survey,Demographics,1685890714,1,0,0
797yw66a,38,90481ka5,4,Survey,ComprehensionCheck_2,1685890716,1,0,0
